OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B01001_001E,B01001_001M,B09020_021E,B09020_021M,SHAPE_Length,SHAPE_Area
32,35,00897535,0400000US35,35,NM,New Mexico,00,314197253999,727781442,6.65968264638831,2092454,0,6933,361,23.6745254104304,30.8929171070669
33,36,01779796,0400000US36,36,NY,New York,00,122050000805,19246143659,160.363120613746,19572319,0,114887,1462,30.8682343592076,14.0069685755464
34,37,01027616,0400000US37,37,NC,North Carolina,00,125925929633,13463401534,81.5151893650186,10264876,0,44153,666,41.2633223579445,12.7821920156695
35,38,01779797,0400000US38,38,ND,North Dakota,00,178695635183,4411365971,4.23466974571066,756717,0,6714,198,24.8454486126729,21.8397965654581
36,39,01085497,0400000US39,39,OH,Ohio,00,105823701267,10274036690,110.139759434351,11655397,0,74670,933,17.9352577576507,11.3199127250773
37,40,01102857,0400000US40,40,OK,Oklahoma,00,177662675149,3374950118,22.1367262240177,3932870,0,19944,521,27.2111117398706,18.0050010438956
38,41,01155107,0400000US41,41,OR,Oregon,00,248607777514,6191602576,16.6117208451672,4129803,0,17680,667,25.9604801544946,28.1784543179937
39,42,01779798,0400000US42,42,PA,Pennsylvania,00,115880457407,3398574954,110.385567042362,12791530,0,90172,1531,17.334145946308,12.5358377028836
40,44,01219835,0400000US44,44,RI,Rhode Island,00,2677787140,1323663210,394.815175637896,1057231,0,7568,289,5.80162297301666,0.307750273652801
41,45,01779799,0400000US45,45,SC,South Carolina,00,77864659170,5075874513,64.4811915125474,5020806,0,19363,393,15.9258765486591,7.85639919458976
42,46,01785534,0400000US46,46,SD,South Dakota,00,196346195316,3383460688,4.43419847580338,870638,0,7945,545,23.3987821770753,22.5783316353292
43,47,01325873,0400000US47,47,TN,Tennessee,00,106805839178,2347012319,62.8182508712689,6709356,0,30915,619,22.3742798538323,10.8892716962164
44,48,01779801,0400000US48,48,TX,Texas,00,676668210823,18991880422,41.7647165153918,28260856,0,92574,1087,71.9765922570574,65.3276707563914
45,49,01455989,0400000US49,49,UT,Utah,00,213355135666,6529910339,14.5149915905845,3096848,0,5023,464,20.001215013569,22.975116780702
46,50,01779802,0400000US50,50,VT,Vermont,00,23874197924,1030383955,26.150114110112,624313,0,4054,203,9.57125437062138,2.79795351297077
47,51,01779803,0400000US51,51,VA,Virginia,00,102258306285,8527942672,82.6775184055651,8454463,0,28644,526,33.6140585675716,10.6857787528406
48,53,01779804,0400000US53,53,WA,Washington,00,172117954267,12549727444,43.0176330617682,7404107,0,28696,742,47.9612543578732,20.8996360558688
49,54,01779805,0400000US54,54,WV,West Virginia,00,62266231560,489271086,29.1860444171708,1817305,0,9767,289,20.1969832674113,6.49387972628266
50,55,01779806,0400000US55,55,WI,Wisconsin,00,140293020078,29344176961,41.275866730793,5790716,0,33255,640,28.3859908843106,16.4901861957261
51,56,01779807,0400000US56,56,WY,Wyoming,00,251458578211,1867637632,2.31061514836237,581024,0,2671,145,21.9955352148813,27.970714628137
55,72,01779808,0400000US72,72,PR,Puerto Rico,00,8868701898,4922576715,374.1750526927,3318447,0,12099,791,6.8618085229661,0.771304755284832
